"scientificname","order","class"
"Alepocephalus bairdii","Alepocephaliformes","Teleostei"
"Anarhichas denticulatus","Perciformes","Teleostei"
"Anoplogaster cornuta","Trachichthyiformes","Teleostei"
"Aphanopus carbo","Scombriformes","Teleostei"
"Arctozenus risso","Aulopiformes","Teleostei"
"Argentina silus","Argentiniformes","Teleostei"
"Argyropelecus hemigymnus","Stomiiformes","Teleostei"
"Bajacalifornia megalops","Alepocephaliformes","Teleostei"
"Barbantus curvifrons","Alepocephaliformes","Teleostei"
"Bathylagus euryops","Argentiniformes","Teleostei"
"Benthosema glaciale","Myctophiformes","Teleostei"
"Borostomias antarcticus","Stomiiformes","Teleostei"
"Ceratias holboelli","Lophiiformes","Teleostei"
"Chaenophryne longiceps","Lophiiformes","Teleostei"
"Chauliodus sloani","Stomiiformes","Teleostei"
"Chirostomias pliopterus","Stomiiformes","Teleostei"
"Clupea harengus","Clupeiformes","Teleostei"
"Coryphaenoides rupestris","Gadiformes","Teleostei"
"Cryptopsaras couesii","Lophiiformes","Teleostei"
"Cyclopterus lumpus","Perciformes","Teleostei"
"Derichthys serpentinus","Anguilliformes","Teleostei"
"Einara edentula","Alepocephaliformes","Teleostei"
"Gadus morhua","Gadiformes","Teleostei"
"Gonatus steenstrupi","Oegopsida","Cephalopoda"
"Himantolophus albinares","Lophiiformes","Teleostei"
"Holtbyrnia anomala","Alepocephaliformes","Teleostei"
"Holtbyrnia macrops","Alepocephaliformes","Teleostei"
"Lampadena speculigera","Myctophiformes","Teleostei"
"Lampanyctus crocodilus","Myctophiformes","Teleostei"
"Lampanyctus intricarius","Myctophiformes","Teleostei"
"Lampanyctus macdonaldi","Myctophiformes","Teleostei"
"Magnisudis atlantica","Aulopiformes","Teleostei"
"Malacosteus niger","Stomiiformes","Teleostei"
"Mallotus villosus","Osmeriformes","Teleostei"
"Maulisia mauli","Alepocephaliformes","Teleostei"
"Maurolicus muelleri","Stomiiformes","Teleostei"
"Melamphaes microps","Beryciformes","Teleostei"
"Melanocetus johnsonii","Lophiiformes","Teleostei"
"Melanolagus bericoides","Argentiniformes","Teleostei"
"Melanostomias bartonbeani","Stomiiformes","Teleostei"
"Merlangius merlangus","Gadiformes","Teleostei"
"Micromesistius poutassou","Gadiformes","Teleostei"
"Myctophum punctatum","Myctophiformes","Teleostei"
"Nansenia groenlandica","Argentiniformes","Teleostei"
"Nemichthys scolopaceus","Anguilliformes","Teleostei"
"Normichthys operosus","Alepocephaliformes","Teleostei"
"Notoscopelus kroyeri","Myctophiformes","Teleostei"
"Oneirodes eschrichtii","Lophiiformes","Teleostei"
"Platyberyx opalescens","Scombriformes","Teleostei"
"Pollachius virens","Gadiformes","Teleostei"
"Polyipnus polli","Stomiiformes","Teleostei"
"Poromitra crassiceps","Beryciformes","Teleostei"
"Poromitra megalops","Beryciformes","Teleostei"
"Protomyctophum arcticum","Myctophiformes","Teleostei"
"Reinhardtius hippoglossoides","Pleuronectiformes","Teleostei"
"Schedophilus medusophagus","Scombriformes","Teleostei"
"Scomber scombrus","Scombriformes","Teleostei"
"Scopelogadus beanii","Beryciformes","Teleostei"
"Scopelosaurus lepidus","Aulopiformes","Teleostei"
"Searsia koefoedi","Alepocephaliformes","Teleostei"
"Sebastes mentella","Perciformes","Teleostei"
"Sebastes norvegicus","Perciformes","Teleostei"
"Serrivomer beanii","Anguilliformes","Teleostei"
"Stomias ferox","Stomiiformes","Teleostei"
"Thalassobathia pelagica","Ophidiiformes","Teleostei"
"Trachipterus arcticus","Lampriformes","Teleostei"
"Trigonolampa miriceps","Stomiiformes","Teleostei"
"Xenodermichthys copei","Alepocephaliformes","Teleostei"
